"RegionID","RegionName","City","State","Metro","CountyName","SizeRank","2018-02","grm"
97549,"94087","Sunnyvale","CA","San Jose","Santa Clara",495,43.04,0.19361833952912
97936,"95030","Los Gatos","CA","San Jose","Santa Clara",7404,42.6,0.195618153364632
97926,"95014","Cupertino","CA","San Jose","Santa Clara",441,42.58,0.195710036010647
97515,"94024","Los Altos","CA","San Jose","Santa Clara",5365,42.47,0.19621693744604
97966,"95070","Saratoga","CA","San Jose","Santa Clara",3146,42.04,0.198223913732953
97691,"94301","Palo Alto","CA","San Jose","Santa Clara",5707,41.68,0.199936020473449
97527,"94040","Mountain View","CA","San Jose","Santa Clara",1744,41.56,0.200513314084055
97696,"94306","Palo Alto","CA","San Jose","Santa Clara",3277,41.52,0.200706486833654
97695,"94305","Stanford","CA","San Jose","Santa Clara",8339,41.5,0.200803212851406
97528,"94041","Mountain View","CA","San Jose","Santa Clara",6344,41.41,0.201239636158738
97513,"94022","Los Altos","CA","San Jose","Santa Clara",5816,41.35,0.201531640467553
97997,"95129","San Jose","CA","San Jose","Santa Clara",2071,40.75,0.204498977505112
97548,"94086","Sunnyvale","CA","San Jose","Santa Clara",562,39,0.213675213675214
97693,"94303","Palo Alto","CA","San Jose","Santa Clara",1996,37.48,0.222340803984347
97938,"95032","Los Gatos","CA","San Jose","Santa Clara",3680,37.36,0.223054960742327
97518,"94027","Atherton","CA","San Francisco","San Mateo",10461,35.51,0.23467567821271
97998,"95130","San Jose","CA","San Jose","Santa Clara",7818,35.29,0.236138660621517
97519,"94028","Portola Valley","CA","San Francisco","San Mateo",10211,34.91,0.238709061395971
97501,"94010","Burlingame","CA","San Francisco","San Mateo",1225,34.68,0.240292195309496
97530,"94043","Mountain View","CA","San Jose","Santa Clara",2522,34.16,0.243950039032006
97952,"95051","Santa Clara","CA","San Jose","Santa Clara",276,34.14,0.244092950595587
62032,"11221","New York","NY","New York","Kings",63,33.89,0.245893577259762
97536,"94062","Redwood City","CA","San Francisco","San Mateo",4059,33.61,0.247942080729941
98947,"96816","Honolulu","HI","Urban Honolulu","Honolulu",1155,33.55,0.248385494287134
97516,"94025","Menlo Park","CA","San Francisco","San Mateo",1596,33.54,0.248459550785132
97988,"95120","San Jose","CA","San Jose","Santa Clara",2858,33.5,0.248756218905473
98952,"96821","Honolulu","HI","Urban Honolulu","Honolulu",6431,33.38,0.249650489314959
97521,"94030","Millbrae","CA","San Francisco","San Mateo",4779,33.14,0.251458459062563
97702,"94402","San Mateo","CA","San Francisco","San Mateo",4034,32.93,0.25306205081486
97920,"95008","Campbell","CA","San Jose","Santa Clara",632,32.55,0.256016385048643
97498,"94002","Belmont","CA","San Francisco","San Mateo",3535,32.53,0.256173788297981
97542,"94070","San Carlos","CA","San Francisco","San Mateo",2924,32.43,0.256963716723199
62026,"11215","New York","NY","New York","Kings",99,32.34,0.2576788291074
62030,"11219","New York","NY","New York","Kings",352,32.17,0.25904051393638
97993,"95125","San Jose","CA","San Jose","Santa Clara",514,32.1,0.259605399792316
98898,"96762","Laie","HI","Urban Honolulu","Honolulu",13726,31.81,0.261972126165776
62015,"11204","New York","NY","New York","Kings",342,31.71,0.262798276043309
97992,"95124","San Jose","CA","San Jose","Santa Clara",1235,31.69,0.262964131692437
97985,"95117","San Jose","CA","San Jose","Santa Clara",3811,31.63,0.263462957108231
98853,"96712","Haleiwa","HI","Urban Honolulu","Honolulu",9571,31.62,0.263546278726544
62024,"11213","New York","NY","New York","Kings",378,31.5,0.264550264550265
62038,"11228","New York","NY","New York","Kings",3657,31.44,0.265055131467345
62028,"11217","New York","NY","New York","Kings",1488,31.31,0.266155647822847
62034,"11223","New York","NY","New York","Kings",255,31.26,0.266581360631265
97951,"95050","Santa Clara","CA","San Jose","Santa Clara",1806,31.22,0.266922912662823
98219,"95460","Mendocino","CA","Ukiah","Mendocino",11763,31.16,0.267436884895165
97535,"94061","Redwood City","CA","San Francisco","San Mateo",2284,31.04,0.268470790378007
97539,"94065","Redwood City","CA","San Francisco","San Mateo",7676,31.04,0.268470790378007
97703,"94403","San Mateo","CA","San Francisco","San Mateo",1123,30.91,0.269599913728028
62012,"11201","New York","NY","New York","Kings",22,30.69,0.271532529597046
97704,"94404","Foster City","CA","San Francisco","San Mateo",1777,30.64,0.271975630983464
62036,"11225","New York","NY","New York","Kings",334,30.43,0.27385255778289
62040,"11230","New York","NY","New York","Kings",41,30.38,0.274303269694975
97955,"95054","Santa Clara","CA","San Jose","Santa Clara",5282,30.33,0.274755467633806
62006,"11103","New York","NY","New York","Queens",1879,30.28,0.27520915896081
98950,"96819","Honolulu","HI","Urban Honolulu","Honolulu",4344,30.28,0.27520915896081
97551,"94089","Sunnyvale","CA","San Jose","Santa Clara",5284,30.21,0.275846849828975
62020,"11209","New York","NY","New York","Kings",43,30.09,0.276946936966877
98003,"95135","San Jose","CA","San Jose","Santa Clara",6048,29.83,0.279360822438261
98873,"96734","Kailua","HI","Urban Honolulu","Honolulu",1281,29.76,0.280017921146953
97841,"94707","Berkeley","CA","San Francisco","Alameda",7452,29.55,0.282007896221094
62182,"11694","New York","NY","New York","Queens",5813,29.45,0.282965478211658
98000,"95132","San Jose","CA","San Jose","Santa Clara",3287,29.32,0.284220100045475
97839,"94705","Berkeley","CA","San Francisco","Alameda",6698,29.25,0.284900284900285
97572,"94118","San Francisco","CA","San Francisco","San Francisco",1075,29.22,0.285192790326261
97746,"94539","Fremont","CA","San Francisco","Alameda",1341,29.19,0.285485896996688
97581,"94127","San Francisco","CA","San Francisco","San Francisco",5768,28.99,0.287455444406117
60593,"07086","Weehawken","NJ","New York","Hudson",6327,28.97,0.287653894833736
62075,"11363","New York","NY","New York","Queens",10111,28.97,0.287653894833736
97986,"95118","San Jose","CA","San Jose","Santa Clara",3536,28.85,0.288850375505488
97819,"94618","Oakland","CA","San Francisco","Alameda",5897,28.74,0.289955926699142
99525,"98040","Mercer Island","WA","Seattle","King",3901,28.66,0.290765294254478
